task_id,contributor_id,label,seconds
35,98,0,19.63
35,146,0,25.97
35,46,0,27.42
36,43,1,24.0
36,33,1,31.57
36,196,0,15.27
36,29,0,21.32
36,191,0,11.11
37,176,0,1.71
37,131,0,23.31
37,121,1,31.37
37,25,1,27.96
37,123,0,33.71
38,144,0,35.65
38,62,1,34.47
38,106,0,30.55
38,29,1,28.07
38,128,0,18.42
39,3,1,26.46
39,37,1,36.14
39,54,0,30.33
39,39,0,25.86
39,23,0,28.93
40,62,0,31.52
40,123,1,33.75
40,53,1,35.11
40,52,1,32.02
40,138,1,33.73
41,38,1,26.94
41,23,1,28.47
41,35,1,27.18
41,101,1,19.74
41,182,0,2.56
42,18,1,32.3
42,64,1,37.35
42,68,1,30.44
42,70,1,35.39
42,54,1,30.11
43,78,1,40.11
43,189,0,1.84
43,25,1,32.51
43,68,0,44.74
43,76,1,35.87
44,173,0,4.98
44,130,0,23.47
44,51,0,20.27
44,96,1,25.9
44,146,0,22.0
45,98,1,17.9
45,29,1,31.06
45,160,0,5.25
45,31,1,24.45
45,23,1,16.38
46,83,0,33.8
46,133,0,27.91
46,90,0,34.96
46,77,1,32.66
46,15,0,32.46
47,164,0,4.34
47,116,1,35.55
47,44,1,38.16
47,113,1,18.96
47,98,1,24.11
48,78,1,27.92
48,178,1,0.56
48,40,1,31.53
48,196,0,14.07
48,31,1,32.27
49,25,0,15.9
49,141,1,14.72
49,23,0,15.52
49,13,1,19.68
49,185,0,1.32
50,123,1,32.63
50,188,0,1.55
50,89,1,28.06
50,122,1,40.67
50,7,1,35.52
51,28,0,22.38
51,183,0,1.13
51,188,1,1.32
51,60,0,19.54
51,53,0,24.43
52,3,1,29.25
52,44,0,25.5
52,47,0,21.91
52,185,1,1.84
52,141,0,26.37
53,171,0,8.95
53,12,0,28.32
53,25,0,25.26
53,151,0,29.88
53,58,0,29.7
54,148,1,43.44
54,180,0,1.16
54,82,0,31.98
54,33,0,33.11
54,135,0,40.26
55,108,0,32.01
55,165,0,6.78
55,97,0,26.73
55,117,1,24.33
55,66,1,29.43
56,100,1,38.42
56,24,0,20.84
56,150,1,26.45
56,110,0,26.74
56,198,0,11.84
57,36,1,42.24
57,67,0,31.71
57,136,1,38.91
57,168,0,6.32
57,150,1,41.43
58,80,1,30.63
58,82,0,22.21
58,90,1,24.18
58,160,0,4.48
58,93,1,13.79
59,45,1,29.18
59,137,1,29.45
59,156,1,37.21
59,198,1,12.82
59,6,1,24.64
60,21,1,18.89
60,32,0,26.09
60,36,0,20.6
60,0,1,30.86
60,134,0,24.35
61,194,0,11.71
61,81,1,25.55
61,60,1,26.65
61,165,0,5.36
61,36,0,31.39
62,131,1,23.09
62,98,0,26.43
62,147,0,24.75
62,157,0,15.82
62,69,0,33.5
63,126,1,35.3
63,193,0,10.25
63,172,0,5.07
63,109,1,21.86
63,36,1,33.1
64,76,0,32.75
64,22,1,34.26
64,125,0,30.17
64,46,0,29.45
64,54,0,26.58
65,48,0,22.15
65,186,1,1.12
65,0,0,20.39
65,140,0,30.05
65,194,0,11.46
66,86,1,15.58
66,150,0,19.5
66,125,1,26.02
66,170,0,6.83
66,175,1,1.45
67,58,1,25.52
67,0,1,19.13
67,191,0,8.75
67,4,1,22.87
67,61,0,21.95
68,54,0,36.7
68,52,1,40.2
68,186,0,2.26
68,2,1,44.29
68,38,0,43.99
69,119,0,29.84
69,174,0,4.87
69,113,0,30.54
69,30,0,26.13
69,34,0,20.99
70,4,1,21.16
70,171,0,6.08
70,133,1,23.71
70,155,1,19.2
70,14,1,19.48
71,95,0,39.43
71,197,0,10.77
71,93,0,37.96
71,75,0,36.96
71,27,1,35.06
72,137,1,34.27
72,144,1,21.31
72,182,0,1.09
72,121,0,32.75
72,43,0,24.73
73,81,0,22.66
73,41,0,26.72
73,193,1,12.66
73,10,0,27.45
73,59,0,29.0
74,178,1,1.47
74,199,1,8.57
74,162,0,7.84
74,127,1,27.63
74,40,1,32.61
75,166,0,6.34
75,189,1,2.64
75,98,0,30.91
75,192,1,11.19
75,68,0,38.7
76,36,0,25.13
76,44,0,35.81
76,41,0,38.41
76,177,1,1.68
76,0,0,35.87
77,46,0,23.61
77,183,0,1.51
77,126,1,32.84
77,179,0,1.05
77,53,0,28.14
78,103,1,41.61
78,95,1,24.67
78,35,1,28.75
78,42,1,37.22
78,28,1,33.65
79,52,0,30.66
79,79,0,33.83
79,20,1,31.18
79,40,1,28.87
79,6,1,33.13
80,93,1,24.46
80,14,1,31.29
80,57,1,37.21
80,26,1,34.5
80,159,1,33.81
81,50,1,33.96
81,137,1,30.01
81,25,0,32.44
81,10,0,33.96
81,185,0,1.11
82,29,1,30.33
82,68,0,44.01
82,20,0,34.71
82,25,0,32.59
82,187,0,1.0
83,163,0,4.95
83,130,1,33.13
83,180,0,1.33
83,61,0,23.43
83,122,1,29.74
84,64,1,36.84
84,131,1,37.1
84,39,1,39.92
84,100,1,46.81
84,25,0,51.67
85,119,1,35.77
85,199,1,16.74
85,24,1,40.04
85,171,0,5.18
85,20,1,33.21
86,168,0,4.74
86,21,1,35.36
86,194,1,8.16
86,97,0,31.36
86,18,0,34.57
87,167,0,2.99
87,191,1,16.69
87,59,1,33.01
87,18,0,31.09
87,185,0,1.24
88,188,1,1.95
88,146,1,31.94
88,71,0,37.11
88,84,0,39.09
88,73,0,41.86
89,170,0,6.32
89,34,1,15.7
89,55,1,24.17
89,74,1,21.95
89,94,1,18.33
90,105,0,18.89
90,177,0,0.3
90,126,0,25.44
90,114,0,14.35
90,24,0,23.73
91,192,0,14.49
91,184,1,0.46
91,117,1,21.37
91,133,1,32.6
91,2,1,20.14
92,64,1,37.67
92,192,1,8.92
92,121,0,37.78
92,120,1,38.12
92,109,0,36.91
93,90,1,26.82
93,148,0,19.49
93,97,0,24.41
93,43,0,27.07
93,9,0,25.38
94,108,1,27.86
94,197,1,14.8
94,172,0,9.17
94,19,1,12.31
94,91,1,13.49
95,186,1,0.76
95,192,0,8.22
95,109,0,31.0
95,11,1,21.05
95,33,0,29.77
96,108,0,28.22
96,59,0,30.35
96,199,0,11.26
96,196,0,18.67
96,172,0,2.59
97,195,1,12.29
97,190,1,16.15
97,101,1,27.51
97,144,1,36.28
97,33,1,37.89
98,103,1,25.9
98,48,1,26.82
98,12,1,30.74
98,19,0,21.93
98,61,1,29.61
99,37,0,25.33
99,101,0,31.85
99,69,0,25.69
99,193,0,6.69
99,76,0,32.79
100,152,1,30.65
100,181,0,1.98
100,125,1,21.65
100,3,0,30.42
100,16,1,25.64
101,163,0,3.38
101,99,0,42.38
101,179,1,2.18
101,124,0,36.49
101,142,0,41.17
102,170,0,6.82
102,113,1,30.39
102,171,0,6.42
102,187,0,1.79
102,32,1,31.11
103,61,0,47.49
103,67,1,45.42
103,74,0,41.58
103,20,1,44.7
103,173,0,3.04
104,78,0,32.38
104,102,1,28.11
104,45,1,30.44
104,50,0,27.58
104,196,0,11.47
105,127,1,31.57
105,117,1,23.53
105,49,1,21.06
105,164,0,4.81
105,56,1,28.14
106,14,0,34.64
106,121,1,34.8
106,90,1,35.74
106,60,1,31.32
106,74,0,35.65
107,6,1,37.77
107,133,1,36.06
107,60,1,33.18
107,169,0,5.35
107,137,0,40.38
108,189,1,0.87
108,160,0,1.51
108,145,0,12.34
108,65,0,30.7
108,155,1,29.4
109,68,1,27.15
109,48,1,26.11
109,172,0,7.94
109,166,0,5.83
109,61,0,21.88
110,28,0,23.43
110,164,0,8.04
110,52,0,31.04
110,37,0,32.63
110,89,1,29.03
111,103,1,38.07
111,21,1,43.7
111,116,1,33.66
111,55,1,23.66
111,68,0,30.65
112,153,1,24.49
112,183,0,1.57
112,177,1,2.42
112,112,1,20.41
112,30,1,15.81
113,101,0,31.68
113,127,0,23.08
113,107,0,19.09
113,189,0,0.76
113,109,1,28.86
114,111,1,33.68
114,109,0,36.28
114,58,1,35.6
114,147,1,43.78
114,13,1,33.8
115,148,1,34.53
115,109,1,37.68
115,10,0,29.31
115,184,0,0.69
115,116,1,24.34
116,161,0,8.41
116,83,1,30.45
116,156,1,32.7
116,67,1,28.02
116,157,0,27.03
117,31,0,37.96
117,148,1,43.58
117,70,1,35.05
117,185,1,1.16
117,65,1,41.18
118,4,1,24.26
118,177,0,1.67
118,51,0,30.91
118,85,1,36.45
118,61,1,31.71
119,11,0,38.98
119,198,1,17.56
119,93,0,38.5
119,27,0,31.49
119,163,0,2.15
120,53,0,38.42
120,69,1,44.54
120,142,1,33.3
120,92,0,36.03
120,115,0,40.56
121,143,1,36.43
121,114,1,31.25
121,188,0,1.28
121,158,1,30.99
121,141,0,22.98
122,19,1,33.81
122,148,0,24.66
122,69,0,23.48
122,2,1,32.47
122,77,1,20.5
123,55,0,34.07
123,193,1,13.86
123,161,0,7.36
123,69,1,29.31
123,93,0,38.28
124,101,1,30.03
124,70,1,22.38
124,48,1,36.14
124,74,1,30.91
124,194,1,8.25
125,142,1,27.02
125,138,1,35.33
125,29,1,32.27
125,90,1,21.47
125,11,1,25.98
126,139,0,22.62
126,79,1,43.12
126,66,0,45.11
126,149,0,45.45
126,167,0,5.46
127,97,0,37.19
127,48,0,37.03
127,190,0,12.52
127,95,1,37.57
127,18,1,43.73
128,18,1,32.29
128,43,1,32.09
128,80,1,29.86
128,22,1,35.57
128,88,1,25.33
129,178,0,2.0
129,58,0,47.66
129,4,1,21.17
129,80,1,34.68
129,66,1,35.67
130,166,0,7.69
130,186,0,1.36
130,7,0,21.45
130,158,1,17.84
130,127,1,23.96
131,179,1,2.24
131,154,0,41.67
131,157,0,27.0
131,148,1,26.48
131,119,0,27.24
132,167,0,5.23
132,45,0,17.57
132,153,0,23.02
132,152,0,26.63
132,185,0,0.84
133,113,1,27.77
133,63,1,20.21
133,80,1,26.48
133,161,0,6.75
133,95,0,26.18
134,46,1,31.04
134,37,0,22.53
134,103,1,32.49
134,49,0,22.29
134,153,1,19.86
135,46,0,29.92
135,120,1,24.27
135,157,1,28.38
135,117,0,34.44
135,104,0,30.26
136,193,0,1.67
136,83,0,43.14
136,152,0,43.42
136,120,1,35.05
136,7,0,32.14
137,1,1,32.06
137,125,0,17.34
137,190,1,7.99
137,151,0,25.65
137,72,0,35.35
138,8,0,21.84
138,2,0,32.68
138,109,0,22.15
138,180,0,1.07
138,159,0,26.68
139,46,1,19.84
139,166,0,6.99
139,125,0,30.71
139,40,0,25.12
139,66,0,30.22
140,157,1,37.34
140,148,1,27.84
140,138,1,32.93
140,35,1,26.29
140,37,0,31.13
141,34,1,25.48
141,93,0,21.05
141,12,1,19.92
141,27,0,26.27
141,174,0,7.02
142,73,0,29.25
142,186,0,0.3
142,6,1,40.11
142,109,0,30.22
142,134,0,22.33
143,76,0,35.56
143,91,0,22.07
143,16,0,22.89
143,66,0,23.97
143,193,1,8.89
144,106,1,34.71
144,80,1,33.55
144,199,1,11.66
144,165,0,6.2
144,84,0,37.52
145,1,1,31.77
145,170,0,6.88
145,11,1,32.46
145,53,1,23.09
145,117,1,29.13
146,86,1,34.34
146,39,1,31.47
146,113,0,28.55
146,74,0,35.74
146,190,0,8.62
147,162,0,3.92
147,56,0,23.71
147,123,0,35.17
147,32,1,29.0
147,171,0,5.01
148,191,0,11.23
148,131,1,14.92
148,65,1,25.27
148,169,0,4.97
148,10,1,24.93
149,164,0,5.79
149,179,1,1.52
149,87,0,28.74
149,55,0,22.38
149,133,0,23.8
150,16,1,29.19
150,194,0,13.05
150,61,1,30.46
150,119,0,25.05
150,198,0,5.69
151,138,1,36.26
151,24,1,29.98
151,94,1,29.39
151,162,0,8.41
151,21,0,38.72
152,49,1,20.54
152,179,1,1.22
152,42,1,23.74
152,128,1,25.15
152,66,1,24.37
153,43,0,28.66
153,148,0,27.07
153,137,0,21.59
153,79,1,18.59
153,108,0,18.42
154,171,0,6.9
154,46,0,26.81
154,121,0,33.1
154,186,0,1.25
154,59,0,29.25
155,41,1,20.99
155,169,0,4.69
155,140,1,25.98
155,138,1,23.26
155,132,0,22.35
156,126,1,16.57
156,47,1,23.08
156,85,1,42.48
156,199,0,11.35
156,132,1,36.89
157,123,0,36.82
157,183,1,1.96
157,168,0,5.33
157,125,1,33.32
157,67,1,40.91
158,112,0,38.09
158,159,1,27.75
158,38,1,34.73
158,104,1,30.01
158,16,0,37.45
159,185,0,1.99
159,118,0,30.21
159,194,0,14.47
159,115,1,28.83
159,190,0,13.78
160,85,0,19.55
160,4,1,28.64
160,58,0,25.71
160,191,0,11.45
160,159,1,21.5
161,3,1,23.55
161,83,0,14.28
161,196,1,14.63
161,135,1,29.25
161,155,1,34.46
162,73,1,21.31
162,14,0,23.38
162,128,0,28.19
162,130,0,23.86
162,170,0,6.21
163,88,0,30.83
163,25,0,30.69
163,184,1,1.63
163,133,0,37.53
163,87,1,24.55
164,182,1,2.31
164,191,0,9.53
164,38,0,42.22
164,176,1,1.64
164,148,1,33.11
165,142,1,24.07
165,67,0,13.68
165,121,0,28.08
165,65,0,26.83
165,71,0,21.47
166,124,0,43.3
166,41,0,27.11
166,9,1,34.38
166,160,0,3.44
166,167,0,6.8
167,29,1,31.07
167,142,0,27.26
167,31,0,35.7
167,43,1,22.88
167,85,0,39.6
168,69,0,21.44
168,195,1,11.3
168,163,0,9.24
168,52,0,29.07
168,65,0,35.86
169,39,1,32.86
169,128,0,25.0
169,92,0,27.93
169,91,1,25.03
169,19,1,32.02
170,74,1,32.12
170,97,0,35.46
170,167,0,5.02
170,183,1,1.43
170,77,1,28.88
171,164,0,4.92
171,130,0,31.71
171,91,0,22.31
171,28,0,29.65
171,181,1,2.0
172,35,1,36.11
172,119,0,36.95
172,194,0,13.64
172,172,0,5.87
172,61,1,30.77
173,129,1,35.67
173,172,0,0.43
173,32,0,23.32
173,121,1,26.9
173,10,1,33.99
174,155,1,27.76
174,16,1,23.51
174,100,0,32.42
174,159,1,24.81
174,147,0,24.62
175,120,1,28.29
175,54,1,31.55
175,28,0,29.35
175,72,0,30.78
175,129,0,35.18
176,15,1,32.18
176,158,1,30.24
176,177,0,2.03
176,192,0,14.05
176,154,0,34.85
177,164,0,6.58
177,109,0,22.24
177,123,0,18.97
177,137,1,22.63
177,167,0,8.18
178,82,0,15.99
178,21,1,28.87
178,129,1,22.21
178,89,1,33.43
178,131,1,27.04
179,68,1,23.54
179,1,1,29.41
179,155,0,30.01
179,113,1,32.23
179,162,0,3.88
180,170,0,9.89
180,75,1,35.83
180,198,0,11.37
180,181,1,2.11
180,112,0,31.35
181,84,0,21.06
181,117,0,28.92
181,79,0,28.86
181,177,1,1.23
181,83,0,17.46
182,84,0,28.23
182,183,0,0.72
182,7,0,25.75
182,48,0,31.71
182,27,0,25.46
183,33,1,20.0
183,198,1,9.71
183,30,1,17.26
183,167,0,4.55
183,61,0,24.16
184,138,1,30.02
184,41,1,27.28
184,82,0,31.84
184,9,0,32.52
184,54,1,37.49
185,199,1,14.54
185,19,0,30.37
185,188,0,1.78
185,110,0,23.33
185,90,0,23.17
186,21,0,28.19
186,175,1,1.55
186,69,0,41.21
186,73,0,27.27
186,178,1,2.44
187,133,0,24.8
187,49,0,28.3
187,152,1,20.69
187,30,0,32.11
187,82,0,27.27
188,130,0,35.2
188,166,0,5.16
188,37,1,39.25
188,92,0,41.03
188,39,0,31.69
189,18,0,26.12
189,50,0,26.63
189,87,0,33.68
189,156,0,27.45
189,49,0,25.48
190,132,0,34.0
190,1,0,34.44
190,46,1,31.38
190,159,0,27.32
190,56,0,35.79
191,159,0,29.64
191,161,0,5.4
191,165,0,4.23
191,84,0,33.29
191,17,0,29.69
192,170,0,6.95
192,20,1,27.36
192,110,1,26.71
192,140,0,28.21
192,68,1,29.3
193,45,0,18.85
193,168,0,6.68
193,69,1,21.79
193,172,0,7.53
193,145,0,26.51
194,158,1,36.26
194,41,1,16.41
194,161,0,8.79
194,94,0,26.38
194,157,1,22.3
195,134,1,22.03
195,50,0,21.95
195,139,1,26.18
195,84,1,28.46
195,76,0,24.29
196,80,0,26.79
196,157,0,23.23
196,64,0,31.39
196,164,0,8.83
196,115,1,24.53
197,111,1,35.91
197,170,0,7.58
197,14,1,33.43
197,102,0,30.58
197,147,0,22.83
198,197,1,12.46
198,160,0,4.88
198,93,0,28.1
198,166,0,6.01
198,9,0,30.59
199,150,1,29.7
199,17,0,26.36
199,159,1,23.3
199,138,1,32.37
199,123,1,32.77
200,114,0,22.37
200,131,0,25.94
200,157,0,15.56
200,110,0,20.94
200,63,0,20.55
201,175,0,0.6
201,46,0,31.32
201,189,1,1.24
201,92,0,28.18
201,186,1,1.28
202,43,0,29.11
202,113,0,21.25
202,25,0,22.9
202,53,0,27.99
202,63,0,22.94
203,111,1,37.09
203,45,0,36.38
203,11,1,28.53
203,96,1,26.95
203,134,0,27.85
204,6,1,38.44
204,186,0,1.74
204,111,0,39.3
204,95,0,36.46
204,54,0,39.95
205,11,0,30.57
205,46,0,26.62
205,92,0,33.5
205,38,0,35.08
205,198,0,10.07
206,91,1,33.68
206,40,1,24.57
206,44,0,20.81
206,59,1,34.71
206,130,1,24.41
207,59,1,40.86
207,187,0,0.91
207,103,1,35.42
207,165,0,5.18
207,118,1,23.86
208,136,1,31.59
208,61,0,29.93
208,74,0,31.25
208,99,0,35.29
208,149,1,34.78
209,85,0,35.71
209,121,0,34.51
209,99,0,35.6
209,108,1,32.65
209,196,1,14.29
210,49,1,21.93
210,133,1,30.88
210,73,1,25.42
210,120,0,32.86
210,123,0,28.95
211,159,1,23.89
211,177,0,1.19
211,30,1,28.37
211,118,0,45.82
211,173,0,6.25
212,3,1,24.25
212,36,1,29.57
212,96,1,23.74
212,92,1,29.03
212,33,1,27.15
213,100,0,31.79
213,170,0,8.02
213,131,1,23.91
213,194,1,10.63
213,178,1,1.64
214,179,1,2.09
214,106,1,34.53
214,142,1,25.17
214,188,0,1.83
214,18,1,35.66
215,134,0,28.4
215,125,0,25.08
215,24,0,21.5
215,46,0,26.25
215,44,0,31.96
216,64,0,32.82
216,154,0,27.59
216,185,0,1.23
216,89,0,28.61
216,18,0,23.62
217,3,0,32.62
217,56,0,25.96
217,81,1,31.01
217,112,0,32.13
217,0,1,30.13
218,92,0,23.59
218,84,0,26.33
218,121,0,22.16
218,17,0,20.24
218,53,0,28.75
219,94,0,34.11
219,133,1,32.31
219,182,1,1.5
219,153,1,25.26
219,13,1,34.85
220,189,1,1.71
220,195,0,12.83
220,65,1,35.8
220,135,0,29.47
220,55,0,38.96
221,24,1,45.27
221,131,1,31.25
221,113,0,40.64
221,121,0,41.35
221,33,0,35.09
222,136,1,12.39
222,167,0,4.77
222,117,0,16.44
222,111,0,36.62
222,53,1,23.04
223,154,0,24.05
223,33,0,27.69
223,164,0,5.74
223,162,0,5.86
223,84,0,28.3
224,129,0,25.55
224,4,1,26.21
224,47,1,26.23
224,156,1,34.68
224,158,0,36.02
225,89,1,27.98
225,81,0,28.48
225,180,0,1.49
225,184,1,0.73
225,52,1,22.83
226,174,0,6.78
226,120,1,39.58
226,41,1,42.3
226,93,1,41.6
226,70,1,35.86
227,129,1,36.74
227,130,1,37.76
227,79,1,29.87
227,107,1,33.89
227,118,1,37.47
228,23,1,32.16
228,19,0,30.45
228,104,1,30.7
228,121,0,27.83
228,60,1,31.79
229,190,0,13.24
229,116,1,36.4
229,95,0,38.65
229,171,0,3.76
229,60,0,40.47
230,32,0,15.68
230,138,0,25.43
230,34,0,18.76
230,171,0,5.92
230,74,0,18.01
231,158,0,29.66
231,70,0,35.13
231,61,1,35.02
231,86,1,39.26
231,9,0,40.48
232,186,1,1.84
232,45,0,25.15
232,123,1,36.99
232,100,0,37.41
232,92,0,30.33
233,173,0,8.38
233,113,1,25.29
233,124,1,19.91
233,42,1,31.2
233,80,1,21.9
234,140,0,28.81
234,133,0,31.58
234,70,0,23.16
234,0,0,20.24
234,71,0,18.89
235,17,1,38.61
235,160,0,5.57
235,36,1,38.11
235,21,1,50.45
235,53,1,36.41
236,12,1,25.17
236,154,1,24.94
236,6,1,37.91
236,128,1,22.0
236,69,1,27.84
237,102,0,19.19
237,128,0,31.27
237,80,0,23.72
237,54,0,23.9
237,30,0,27.77
238,108,0,33.88
238,125,0,33.22
238,130,0,33.7
238,155,1,38.74
238,89,0,31.78
239,82,0,28.34
239,63,1,31.21
239,95,1,27.02
239,26,1,28.67
239,7,0,23.31
240,120,0,21.39
240,106,0,22.98
240,66,0,22.17
240,183,1,1.33
240,6,1,18.55
241,178,1,1.6
241,47,1,39.57
241,58,0,35.53
241,66,0,42.9
241,42,1,40.39
242,159,0,21.87
242,5,1,29.5
242,44,0,18.79
242,2,0,23.04
242,105,0,23.73
243,68,0,34.0
243,3,0,35.58
243,110,1,41.57
243,123,0,29.79
243,185,0,2.11
244,0,1,17.7
244,7,0,15.43
244,86,1,40.46
244,81,1,20.53
244,131,1,23.18
245,46,0,23.31
245,103,0,21.27
245,151,0,20.1
245,54,0,21.28
245,64,0,18.21
246,194,0,9.67
246,125,1,22.31
246,109,1,23.7
246,107,1,21.26
246,178,0,1.87
247,55,0,27.13
247,151,1,30.97
247,111,0,30.97
247,154,0,30.11
247,52,1,36.69
248,101,1,37.18
248,141,1,42.38
248,126,1,31.82
248,190,0,11.36
248,27,1,22.65
249,98,0,36.04
249,42,1,27.26
249,118,1,29.44
249,23,0,33.8
249,32,1,28.85
250,14,0,33.46
250,141,1,22.62
250,0,1,29.49
250,19,0,23.79
250,43,1,35.33
251,175,0,1.66
251,64,0,29.62
251,144,1,28.64
251,110,0,30.34
251,194,1,7.82
252,94,0,23.23
252,121,0,23.81
252,90,0,30.01
252,100,0,28.18
252,86,1,35.22
253,182,0,1.19
253,154,0,28.64
253,136,0,12.49
253,22,1,18.74
253,106,0,15.88
254,83,1,24.92
254,108,1,31.43
254,116,1,26.23
254,192,1,12.44
254,56,1,40.85
255,9,1,31.04
255,79,0,20.95
255,101,0,25.23
255,134,1,22.21
255,17,1,24.72
256,84,0,29.29
256,192,0,14.61
256,57,1,30.69
256,172,0,5.82
256,72,1,23.29
257,153,0,29.06
257,28,0,33.01
257,30,1,34.03
257,165,0,4.48
257,120,0,34.12
258,7,0,25.47
258,32,1,28.34
258,88,0,16.94
258,74,0,28.08
258,40,0,21.69
259,124,0,29.73
259,123,1,22.86
259,149,1,33.51
259,17,1,19.61
259,55,1,27.3
260,34,1,24.29
260,176,0,0.85
260,20,1,17.49
260,177,1,1.62
260,114,1,24.61
261,35,0,23.87
261,2,0,22.49
261,39,0,34.07
261,112,0,31.13
261,11,0,28.54
262,46,0,23.79
262,161,0,8.22
262,110,0,28.38
262,44,0,28.68
262,82,0,22.62
263,41,1,25.33
263,197,1,14.37
263,58,1,31.18
263,6,1,22.81
263,102,0,24.28
264,76,0,21.23
264,117,1,35.29
264,95,1,24.0
264,186,0,1.04
264,124,1,31.42
265,193,0,7.99
265,161,0,6.48
265,142,1,31.76
265,140,1,35.86
265,104,0,25.54
266,140,1,31.33
266,189,0,1.51
266,61,0,31.12
266,146,1,27.03
266,181,1,1.94
267,108,0,18.79
267,170,0,3.26
267,21,0,21.23
267,138,1,23.83
267,51,0,17.3
268,154,0,34.0
268,120,1,29.73
268,101,0,35.29
268,178,1,1.85
268,27,1,21.93
269,117,1,43.98
269,73,1,35.44
269,150,1,37.93
269,143,1,49.09
269,89,1,34.43
270,69,0,23.86
270,14,1,27.86
270,59,0,25.74
270,164,0,6.18
270,19,0,29.44
271,127,1,25.52
271,185,0,1.72
271,49,0,28.13
271,194,0,6.79
271,40,0,28.32
272,94,0,31.03
272,77,1,29.28
272,72,0,27.26
272,122,1,23.01
272,2,0,18.71
273,184,1,1.59
273,196,1,11.23
273,14,1,35.84
273,167,0,5.8
273,36,1,30.52
274,140,0,28.91
274,197,1,15.64
274,89,0,23.97
274,5,1,18.74
274,121,0,17.89
275,149,0,41.81
275,170,0,8.53
275,197,0,13.59
275,39,0,36.21
275,143,0,39.91
276,14,0,27.01
276,50,0,32.22
276,127,0,29.63
276,163,0,0.3
276,16,1,33.07
277,184,0,2.05
277,158,0,35.09
277,179,0,2.0
277,188,0,1.1
277,192,0,13.59
278,3,0,29.99
278,95,0,19.95
278,146,0,20.84
278,55,0,15.55
278,93,1,32.54
279,64,0,26.65
